country,fifa_code,group_letter,quality_score_10,star_power_score_10,squad_depth_score_10,fan_interest_score_10,tournament_storyline,data_status,last_updated
Argentina,ARG,J,10,9,8,10,Defending champion with huge global following and elite attacking talent,curated_fan_guide_not_official_squad,2026-05-22
Algeria,ALG,J,6,6,5,6,North African attacking flair and experienced names,curated_fan_guide_not_official_squad,2026-05-22
Austria,AUT,J,6,6,7,6,High-pressing European side with strong team structure,curated_fan_guide_not_official_squad,2026-05-22
Jordan,JOR,J,4,4,4,6,Historic qualification and strong underdog storyline,curated_fan_guide_not_official_squad,2026-05-22
Portugal,POR,K,9,9,8,10,Elite technical depth and Ronaldo-era storyline,curated_fan_guide_not_official_squad,2026-05-22
Congo DR,COD,K,5,5,5,5,Physical African side with strong diaspora talent,curated_fan_guide_not_official_squad,2026-05-22
Uzbekistan,UZB,K,5,5,5,6,Historic debut with rising technical talent,curated_fan_guide_not_official_squad,2026-05-22
Colombia,COL,K,8,8,7,8,South American flair with elite creators and wide players,curated_fan_guide_not_official_squad,2026-05-22
England,ENG,L,9,9,8,10,Global fan interest and elite attacking/midfield depth,curated_fan_guide_not_official_squad,2026-05-22
Croatia,CRO,L,7,7,7,8,Tournament pedigree and midfield identity,curated_fan_guide_not_official_squad,2026-05-22
Ghana,GHA,L,6,6,5,7,Recognisable African side with attacking and midfield talent,curated_fan_guide_not_official_squad,2026-05-22
Panama,PAN,L,4,4,4,5,CONCACAF tournament fighter and underdog appeal,curated_fan_guide_not_official_squad,2026-05-22
