match_number,home_team,away_team,headline,home_key_players,away_key_players,main_storyline,primary_reason,data_status
11,Côte d'Ivoire,Ecuador,Côte d'Ivoire vs Ecuador,"Franck Kessié, Sébastien Haller","Moisés Caicedo, Pervis Estupiñán, Piero Hincapié","Côte d'Ivoire bring qualified-team storyline and key-player watch, led by Franck Kessié, Sébastien Haller. Ecuador bring qualified-team storyline and key-player watch, led by Moisés Caicedo, Pervis Estupiñán, Piero Hincapié. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
12,Sweden,Tunisia,Sweden vs Tunisia,curated key players unavailable,curated key players unavailable,"Sweden bring a qualified-team storyline, led by curated key players unavailable. Tunisia bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
13,Spain,Cabo Verde,Spain vs Cabo Verde,"Lamine Yamal, Pedri, Rodri",curated key players unavailable,"Spain bring technical midfield control and elite wide threat, led by Lamine Yamal, Pedri, Rodri. Cabo Verde bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
14,Belgium,Egypt,Belgium vs Egypt,"Kevin De Bruyne, Thibaut Courtois, Jérémy Doku","Mohamed Salah, Omar Marmoush","Belgium bring qualified-team storyline and key-player watch, led by Kevin De Bruyne, Thibaut Courtois, Jérémy Doku. Egypt bring qualified-team storyline and key-player watch, led by Mohamed Salah, Omar Marmoush. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
15,Saudi Arabia,Uruguay,Saudi Arabia vs Uruguay,Salem Al-Dawsari,"Federico Valverde, Ronald Araújo, Manuel Ugarte","Saudi Arabia bring Al-Dawsari-led counter-attacking storyline, led by Salem Al-Dawsari. Uruguay bring duel intensity, defensive edge and transition threat, led by Federico Valverde, Ronald Araújo, Manuel Ugarte. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
16,IR Iran,New Zealand,IR Iran vs New Zealand,"Mehdi Taremi, Sardar Azmoun",Chris Wood,"IR Iran bring qualified-team storyline and key-player watch, led by Mehdi Taremi, Sardar Azmoun. New Zealand bring qualified-team storyline and key-player watch, led by Chris Wood. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
17,France,Senegal,France vs Senegal,"Kylian Mbappé, Aurélien Tchouaméni, Michael Olise","Sadio Mané, Kalidou Koulibaly, Nicolas Jackson","France bring explosive attacking depth and elite defensive athleticism, led by Kylian Mbappé, Aurélien Tchouaméni, Michael Olise. Senegal bring physicality, pace and senior tournament experience, led by Sadio Mané, Kalidou Koulibaly, Nicolas Jackson. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
18,Iraq,Norway,Iraq vs Norway,Aymen Hussein,"Erling Haaland, Martin Ødegaard","Iraq bring qualified-team storyline and key-player watch, led by Aymen Hussein. Norway bring Haaland and Ødegaard-led star power, led by Erling Haaland, Martin Ødegaard. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
19,Argentina,Algeria,Argentina vs Algeria,"Lionel Messi, Emiliano Martínez, Cristian Romero","Riyad Mahrez, Ismaël Bennacer","Argentina bring tournament pedigree, midfield control and forward efficiency, led by Lionel Messi, Emiliano Martínez, Cristian Romero. Algeria bring qualified-team storyline and key-player watch, led by Riyad Mahrez, Ismaël Bennacer. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
20,Austria,Jordan,Austria vs Jordan,"David Alaba, Konrad Laimer, Marcel Sabitzer",Musa Al-Taamari,"Austria bring qualified-team storyline and key-player watch, led by David Alaba, Konrad Laimer, Marcel Sabitzer. Jordan bring qualified-team storyline and key-player watch, led by Musa Al-Taamari. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
21,Portugal,Congo DR,Portugal vs Congo DR,"Cristiano Ronaldo, Rúben Dias, Bernardo Silva","Chancel Mbemba, Yoane Wissa","Portugal bring creative midfield depth and elite wide/full-back talent, led by Cristiano Ronaldo, Rúben Dias, Bernardo Silva. Congo DR bring qualified-team storyline and key-player watch, led by Chancel Mbemba, Yoane Wissa. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
22,England,Croatia,England vs Croatia,"Jude Bellingham, Harry Kane, Phil Foden","Luka Modrić, Joško Gvardiol, Mateo Kovačić","England bring strong attacking options and Premier League-proven depth, led by Jude Bellingham, Harry Kane, Phil Foden. Croatia bring midfield craft and tournament know-how, led by Luka Modrić, Joško Gvardiol, Mateo Kovačić. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
23,Ghana,Panama,Ghana vs Panama,"Mohammed Kudus, Thomas Partey",curated key players unavailable,"Ghana bring qualified-team storyline and key-player watch, led by Mohammed Kudus, Thomas Partey. Panama bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
24,Uzbekistan,Colombia,Uzbekistan vs Colombia,"Abbosbek Fayzullaev, Abdukodir Khusanov, Eldor Shomurodov","Luis Díaz, James Rodríguez","Uzbekistan bring qualified-team storyline and key-player watch, led by Abbosbek Fayzullaev, Abdukodir Khusanov, Eldor Shomurodov. Colombia bring qualified-team storyline and key-player watch, led by Luis Díaz, James Rodríguez. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
25,Czechia,South Africa,Czechia vs South Africa,"Patrik Schick, Tomáš Souček",curated key players unavailable,"Czechia bring qualified-team storyline and key-player watch, led by Patrik Schick, Tomáš Souček. South Africa bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
26,Switzerland,Bosnia and Herzegovina,Switzerland vs Bosnia and Herzegovina,"Granit Xhaka, Manuel Akanji","Edin Džeko, Miralem Pjanić","Switzerland bring qualified-team storyline and key-player watch, led by Granit Xhaka, Manuel Akanji. Bosnia and Herzegovina bring qualified-team storyline and key-player watch, led by Edin Džeko, Miralem Pjanić. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
27,Canada,Qatar,Canada vs Qatar,"Alphonso Davies, Jonathan David","Akram Afif, Almoez Ali","Canada bring qualified-team storyline and key-player watch, led by Alphonso Davies, Jonathan David. Qatar bring qualified-team storyline and key-player watch, led by Akram Afif, Almoez Ali. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
28,Mexico,South Korea,Mexico vs South Korea,"Edson Álvarez, Hirving Lozano, Santiago Giménez","Son Heung-min, Kim Min-jae, Lee Kang-in","Mexico bring qualified-team storyline and key-player watch, led by Edson Álvarez, Hirving Lozano, Santiago Giménez. South Korea bring qualified-team storyline and key-player watch, led by Son Heung-min, Kim Min-jae, Lee Kang-in. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
29,USA,Australia,USA vs Australia,"Christian Pulisic, Weston McKennie, Antonee Robinson",curated key players unavailable,"USA bring host-nation energy and transition athletes, led by Christian Pulisic, Weston McKennie, Antonee Robinson. Australia bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
30,Scotland,Morocco,Scotland vs Morocco,"Andy Robertson, John McGinn, Scott McTominay","Achraf Hakimi, Sofyan Amrabat, Brahim Díaz","Scotland bring qualified-team storyline and key-player watch, led by Andy Robertson, John McGinn, Scott McTominay. Morocco bring full-back power and compact tournament structure, led by Achraf Hakimi, Sofyan Amrabat, Brahim Díaz. Watch it for two strong player pools, competitive balance.",two strong player pools; competitive balance,curated_group_stage_storyline_not_official
31,Brazil,Haiti,Brazil vs Haiti,"Vinícius Júnior, Raphinha, Neymar",curated key players unavailable,"Brazil bring individual wing threat and attacking flair, led by Vinícius Júnior, Raphinha, Neymar. Haiti bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
32,Türkiye,Paraguay,Türkiye vs Paraguay,"Arda Güler, Hakan Çalhanoğlu, Kenan Yıldız","Julio Enciso, Miguel Almirón","Türkiye bring qualified-team storyline and key-player watch, led by Arda Güler, Hakan Çalhanoğlu, Kenan Yıldız. Paraguay bring qualified-team storyline and key-player watch, led by Julio Enciso, Miguel Almirón. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
33,Netherlands,Sweden,Netherlands vs Sweden,"Virgil van Dijk, Frenkie de Jong, Cody Gakpo",curated key players unavailable,"Netherlands bring defensive leadership and midfield control, led by Virgil van Dijk, Frenkie de Jong, Cody Gakpo. Sweden bring a qualified-team storyline, led by curated key players unavailable. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
34,Germany,Côte d'Ivoire,Germany vs Côte d'Ivoire,"Jamal Musiala, Florian Wirtz, Joshua Kimmich","Franck Kessié, Sébastien Haller","Germany bring technical creators and tournament experience, led by Jamal Musiala, Florian Wirtz, Joshua Kimmich. Côte d'Ivoire bring qualified-team storyline and key-player watch, led by Franck Kessié, Sébastien Haller. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
35,Ecuador,Curaçao,Ecuador vs Curaçao,"Moisés Caicedo, Pervis Estupiñán, Piero Hincapié",curated key players unavailable,"Ecuador bring qualified-team storyline and key-player watch, led by Moisés Caicedo, Pervis Estupiñán, Piero Hincapié. Curaçao bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
36,Tunisia,Japan,Tunisia vs Japan,curated key players unavailable,"Kaoru Mitoma, Takefusa Kubo, Wataru Endo","Tunisia bring qualified-team storyline and key-player watch, led by curated key players unavailable. Japan bring qualified-team storyline and key-player watch, led by Kaoru Mitoma, Takefusa Kubo, Wataru Endo. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
37,Spain,Saudi Arabia,Spain vs Saudi Arabia,"Lamine Yamal, Pedri, Rodri",Salem Al-Dawsari,"Spain bring technical midfield control and elite wide threat, led by Lamine Yamal, Pedri, Rodri. Saudi Arabia bring Al-Dawsari-led counter-attacking storyline, led by Salem Al-Dawsari. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
38,Belgium,IR Iran,Belgium vs IR Iran,"Kevin De Bruyne, Thibaut Courtois, Jérémy Doku","Mehdi Taremi, Sardar Azmoun","Belgium bring qualified-team storyline and key-player watch, led by Kevin De Bruyne, Thibaut Courtois, Jérémy Doku. IR Iran bring qualified-team storyline and key-player watch, led by Mehdi Taremi, Sardar Azmoun. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
39,Uruguay,Cabo Verde,Uruguay vs Cabo Verde,"Federico Valverde, Ronald Araújo, Manuel Ugarte",curated key players unavailable,"Uruguay bring duel intensity, defensive edge and transition threat, led by Federico Valverde, Ronald Araújo, Manuel Ugarte. Cabo Verde bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
40,New Zealand,Egypt,New Zealand vs Egypt,Chris Wood,"Mohamed Salah, Omar Marmoush","New Zealand bring qualified-team storyline and key-player watch, led by Chris Wood. Egypt bring qualified-team storyline and key-player watch, led by Mohamed Salah, Omar Marmoush. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
41,Argentina,Austria,Argentina vs Austria,"Lionel Messi, Emiliano Martínez, Cristian Romero","David Alaba, Konrad Laimer, Marcel Sabitzer","Argentina bring tournament pedigree, midfield control and forward efficiency, led by Lionel Messi, Emiliano Martínez, Cristian Romero. Austria bring qualified-team storyline and key-player watch, led by David Alaba, Konrad Laimer, Marcel Sabitzer. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
42,France,Iraq,France vs Iraq,"Kylian Mbappé, Aurélien Tchouaméni, Michael Olise",Aymen Hussein,"France bring explosive attacking depth and elite defensive athleticism, led by Kylian Mbappé, Aurélien Tchouaméni, Michael Olise. Iraq bring qualified-team storyline and key-player watch, led by Aymen Hussein. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
43,Norway,Senegal,Norway vs Senegal,"Erling Haaland, Martin Ødegaard","Sadio Mané, Kalidou Koulibaly, Nicolas Jackson","Norway bring Haaland and Ødegaard-led star power, led by Erling Haaland, Martin Ødegaard. Senegal bring physicality, pace and senior tournament experience, led by Sadio Mané, Kalidou Koulibaly, Nicolas Jackson. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
44,Jordan,Algeria,Jordan vs Algeria,Musa Al-Taamari,"Riyad Mahrez, Ismaël Bennacer","Jordan bring qualified-team storyline and key-player watch, led by Musa Al-Taamari. Algeria bring qualified-team storyline and key-player watch, led by Riyad Mahrez, Ismaël Bennacer. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
45,Portugal,Uzbekistan,Portugal vs Uzbekistan,"Cristiano Ronaldo, Rúben Dias, Bernardo Silva","Abbosbek Fayzullaev, Abdukodir Khusanov, Eldor Shomurodov","Portugal bring creative midfield depth and elite wide/full-back talent, led by Cristiano Ronaldo, Rúben Dias, Bernardo Silva. Uzbekistan bring qualified-team storyline and key-player watch, led by Abbosbek Fayzullaev, Abdukodir Khusanov, Eldor Shomurodov. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
46,England,Ghana,England vs Ghana,"Jude Bellingham, Harry Kane, Phil Foden","Mohammed Kudus, Thomas Partey","England bring strong attacking options and Premier League-proven depth, led by Jude Bellingham, Harry Kane, Phil Foden. Ghana bring qualified-team storyline and key-player watch, led by Mohammed Kudus, Thomas Partey. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
47,Panama,Croatia,Panama vs Croatia,curated key players unavailable,"Luka Modrić, Joško Gvardiol, Mateo Kovačić","Panama bring qualified-team storyline and key-player watch, led by curated key players unavailable. Croatia bring midfield craft and tournament know-how, led by Luka Modrić, Joško Gvardiol, Mateo Kovačić. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
48,Colombia,Congo DR,Colombia vs Congo DR,"Luis Díaz, James Rodríguez","Chancel Mbemba, Yoane Wissa","Colombia bring qualified-team storyline and key-player watch, led by Luis Díaz, James Rodríguez. Congo DR bring qualified-team storyline and key-player watch, led by Chancel Mbemba, Yoane Wissa. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
49,Switzerland,Canada,Switzerland vs Canada,"Granit Xhaka, Manuel Akanji","Alphonso Davies, Jonathan David","Switzerland bring qualified-team storyline and key-player watch, led by Granit Xhaka, Manuel Akanji. Canada bring qualified-team storyline and key-player watch, led by Alphonso Davies, Jonathan David. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
50,Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina vs Qatar,"Edin Džeko, Miralem Pjanić","Akram Afif, Almoez Ali","Bosnia and Herzegovina bring qualified-team storyline and key-player watch, led by Edin Džeko, Miralem Pjanić. Qatar bring qualified-team storyline and key-player watch, led by Akram Afif, Almoez Ali. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
51,Scotland,Brazil,Scotland vs Brazil,"Andy Robertson, John McGinn, Scott McTominay","Vinícius Júnior, Raphinha, Neymar","Scotland bring qualified-team storyline and key-player watch, led by Andy Robertson, John McGinn, Scott McTominay. Brazil bring individual wing threat and attacking flair, led by Vinícius Júnior, Raphinha, Neymar. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
52,Morocco,Haiti,Morocco vs Haiti,"Achraf Hakimi, Sofyan Amrabat, Brahim Díaz",curated key players unavailable,"Morocco bring full-back power and compact tournament structure, led by Achraf Hakimi, Sofyan Amrabat, Brahim Díaz. Haiti bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
53,Czechia,Mexico,Czechia vs Mexico,"Patrik Schick, Tomáš Souček","Edson Álvarez, Hirving Lozano, Santiago Giménez","Czechia bring qualified-team storyline and key-player watch, led by Patrik Schick, Tomáš Souček. Mexico bring qualified-team storyline and key-player watch, led by Edson Álvarez, Hirving Lozano, Santiago Giménez. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
54,South Africa,South Korea,South Africa vs South Korea,curated key players unavailable,"Son Heung-min, Kim Min-jae, Lee Kang-in","South Africa bring qualified-team storyline and key-player watch, led by curated key players unavailable. South Korea bring qualified-team storyline and key-player watch, led by Son Heung-min, Kim Min-jae, Lee Kang-in. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
55,Curaçao,Côte d'Ivoire,Curaçao vs Côte d'Ivoire,curated key players unavailable,"Franck Kessié, Sébastien Haller","Curaçao bring qualified-team storyline and key-player watch, led by curated key players unavailable. Côte d'Ivoire bring qualified-team storyline and key-player watch, led by Franck Kessié, Sébastien Haller. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
56,Ecuador,Germany,Ecuador vs Germany,"Moisés Caicedo, Pervis Estupiñán, Piero Hincapié","Jamal Musiala, Florian Wirtz, Joshua Kimmich","Ecuador bring qualified-team storyline and key-player watch, led by Moisés Caicedo, Pervis Estupiñán, Piero Hincapié. Germany bring technical creators and tournament experience, led by Jamal Musiala, Florian Wirtz, Joshua Kimmich. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
57,Japan,Sweden,Japan vs Sweden,"Kaoru Mitoma, Takefusa Kubo, Wataru Endo",curated key players unavailable,"Japan bring qualified-team storyline and key-player watch, led by Kaoru Mitoma, Takefusa Kubo, Wataru Endo. Sweden bring a qualified-team storyline, led by curated key players unavailable. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
58,Tunisia,Netherlands,Tunisia vs Netherlands,curated key players unavailable,"Virgil van Dijk, Frenkie de Jong, Cody Gakpo","Tunisia bring qualified-team storyline and key-player watch, led by curated key players unavailable. Netherlands bring defensive leadership and midfield control, led by Virgil van Dijk, Frenkie de Jong, Cody Gakpo. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
59,Türkiye,USA,Türkiye vs USA,"Arda Güler, Hakan Çalhanoğlu, Kenan Yıldız","Christian Pulisic, Weston McKennie, Antonee Robinson","Türkiye bring qualified-team storyline and key-player watch, led by Arda Güler, Hakan Çalhanoğlu, Kenan Yıldız. USA bring host-nation energy and transition athletes, led by Christian Pulisic, Weston McKennie, Antonee Robinson. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
60,Paraguay,Australia,Paraguay vs Australia,"Julio Enciso, Miguel Almirón",curated key players unavailable,"Paraguay bring qualified-team storyline and key-player watch, led by Julio Enciso, Miguel Almirón. Australia bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
61,Norway,France,Norway vs France,"Erling Haaland, Martin Ødegaard","Kylian Mbappé, Aurélien Tchouaméni, Michael Olise","Norway bring Haaland and Ødegaard-led star power, led by Erling Haaland, Martin Ødegaard. France bring explosive attacking depth and elite defensive athleticism, led by Kylian Mbappé, Aurélien Tchouaméni, Michael Olise. Watch it for two strong player pools, clear star power.",two strong player pools; clear star power,curated_group_stage_storyline_not_official
62,Senegal,Iraq,Senegal vs Iraq,"Sadio Mané, Kalidou Koulibaly, Nicolas Jackson",Aymen Hussein,"Senegal bring physicality, pace and senior tournament experience, led by Sadio Mané, Kalidou Koulibaly, Nicolas Jackson. Iraq bring qualified-team storyline and key-player watch, led by Aymen Hussein. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
63,Cabo Verde,Saudi Arabia,Cabo Verde vs Saudi Arabia,curated key players unavailable,Salem Al-Dawsari,"Cabo Verde bring qualified-team storyline and key-player watch, led by curated key players unavailable. Saudi Arabia bring Al-Dawsari-led counter-attacking storyline, led by Salem Al-Dawsari. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
64,Uruguay,Spain,Uruguay vs Spain,"Federico Valverde, Ronald Araújo, Manuel Ugarte","Lamine Yamal, Pedri, Rodri","Uruguay bring duel intensity, defensive edge and transition threat, led by Federico Valverde, Ronald Araújo, Manuel Ugarte. Spain bring technical midfield control and elite wide threat, led by Lamine Yamal, Pedri, Rodri. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
65,Egypt,IR Iran,Egypt vs IR Iran,"Mohamed Salah, Omar Marmoush","Mehdi Taremi, Sardar Azmoun","Egypt bring qualified-team storyline and key-player watch, led by Mohamed Salah, Omar Marmoush. IR Iran bring qualified-team storyline and key-player watch, led by Mehdi Taremi, Sardar Azmoun. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
66,New Zealand,Belgium,New Zealand vs Belgium,Chris Wood,"Kevin De Bruyne, Thibaut Courtois, Jérémy Doku","New Zealand bring qualified-team storyline and key-player watch, led by Chris Wood. Belgium bring qualified-team storyline and key-player watch, led by Kevin De Bruyne, Thibaut Courtois, Jérémy Doku. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
67,Panama,England,Panama vs England,curated key players unavailable,"Jude Bellingham, Harry Kane, Phil Foden","Panama bring qualified-team storyline and key-player watch, led by curated key players unavailable. England bring strong attacking options and Premier League-proven depth, led by Jude Bellingham, Harry Kane, Phil Foden. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
68,Croatia,Ghana,Croatia vs Ghana,"Luka Modrić, Joško Gvardiol, Mateo Kovačić","Mohammed Kudus, Thomas Partey","Croatia bring midfield craft and tournament know-how, led by Luka Modrić, Joško Gvardiol, Mateo Kovačić. Ghana bring qualified-team storyline and key-player watch, led by Mohammed Kudus, Thomas Partey. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
69,Colombia,Portugal,Colombia vs Portugal,"Luis Díaz, James Rodríguez","Cristiano Ronaldo, Rúben Dias, Bernardo Silva","Colombia bring qualified-team storyline and key-player watch, led by Luis Díaz, James Rodríguez. Portugal bring creative midfield depth and elite wide/full-back talent, led by Cristiano Ronaldo, Rúben Dias, Bernardo Silva. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
70,Congo DR,Uzbekistan,Congo DR vs Uzbekistan,"Chancel Mbemba, Yoane Wissa","Abbosbek Fayzullaev, Abdukodir Khusanov, Eldor Shomurodov","Congo DR bring qualified-team storyline and key-player watch, led by Chancel Mbemba, Yoane Wissa. Uzbekistan bring qualified-team storyline and key-player watch, led by Abbosbek Fayzullaev, Abdukodir Khusanov, Eldor Shomurodov. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
