"country","formation","position_slot","player_name","position_group","role_description","confidence","selection_status","last_updated","notes"
"Morocco","4-3-3","ST","Youssef En-Nesyri","Forward","Striker","High","fan_expected_xi_not_official","2026-05-24","Primary penalty-box striker."
"Morocco","4-3-3","LW","Abde Ezzalzouli","Forward","Left winger","Medium","fan_expected_xi_not_official","2026-05-24","Natural left winger for width and dribbling."
"USA","4-3-3","GK","Matt Turner","Goalkeeper","Goalkeeper","Medium","fan_expected_xi_not_official","2026-05-24","Likely starting goalkeeper."
"USA","4-3-3","RB","Sergiño Dest","Defender","Right-back","Medium","fan_expected_xi_not_official","2026-05-24","Preferred right-back if fully fit and available."
"USA","4-3-3","CB","Chris Richards","Defender","Centre-back","High","fan_expected_xi_not_official","2026-05-24","Best all-around centre-back profile in the squad."
"USA","4-3-3","CB","Tim Ream","Defender","Centre-back","Medium","fan_expected_xi_not_official","2026-05-24","Senior organiser if the experience profile is preferred."
"USA","4-3-3","LB","Antonee Robinson","Defender","Left-back","High","fan_expected_xi_not_official","2026-05-24","First-choice left-back and major transition outlet."
"USA","4-3-3","DM","Tyler Adams","Midfielder","Defensive midfielder","Medium","fan_expected_xi_not_official","2026-05-24","Best holding midfielder if fully fit."
"USA","4-3-3","CM","Weston McKennie","Midfielder","Central midfielder","High","fan_expected_xi_not_official","2026-05-24","Ball-winning and late-arriving central midfielder."
"USA","4-3-3","CM","Yunus Musah","Midfielder","Central midfielder","Medium","fan_expected_xi_not_official","2026-05-24","Carry-heavy interior option in midfield."
"USA","4-3-3","RW","Tim Weah","Forward","Right winger","Medium","fan_expected_xi_not_official","2026-05-24","Preferred right-sided runner stretching the line."
"USA","4-3-3","ST","Folarin Balogun","Forward","Striker","Medium","fan_expected_xi_not_official","2026-05-24","Most natural starting striker when available."
"USA","4-3-3","LW","Christian Pulisic","Forward","Left winger","High","fan_expected_xi_not_official","2026-05-24","Primary left-sided attacking threat and creator."
