country,player_name,display_name,position,role_group,sub_role,club_reference,fan_importance,expected_role,priority_tier,selection_status,source_type,last_updated,notes
Belgium,Kevin De Bruyne,Kevin De Bruyne,Midfielder,Attacking Midfielder,Creator,Manchester City,10,Key creator,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Belgium,Thibaut Courtois,Thibaut Courtois,Goalkeeper,Goalkeeper,Goalkeeper,Real Madrid,9,Goalkeeper leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Belgium,Jérémy Doku,Jérémy Doku,Forward,Winger,Winger,Manchester City,8,Key winger,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Belgium,Romelu Lukaku,Romelu Lukaku,Forward,Striker,Striker,Napoli,8,Key striker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Belgium,Amadou Onana,Amadou Onana,Midfielder,Midfielder,Defensive midfielder,Aston Villa,7,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Belgium,Youri Tielemans,Youri Tielemans,Midfielder,Midfielder,Central midfielder,Aston Villa,7,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Bosnia and Herzegovina,Edin Džeko,Edin Džeko,Forward,Striker,Striker,Fenerbahçe,9,Icon / striker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Bosnia and Herzegovina,Miralem Pjanić,Miralem Pjanić,Midfielder,Midfielder,Playmaker,,8,Experienced playmaker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Bosnia and Herzegovina,Ermedin Demirović,Ermedin Demirović,Forward,Forward,Forward,Stuttgart,7,Forward option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Bosnia and Herzegovina,Sead Kolašinac,Sead Kolašinac,Defender,Defender,Defender,Atalanta,7,Defensive leader,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Vinícius Júnior,Vinícius Júnior,Forward,Winger,Left winger,Real Madrid,10,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Neymar,Neymar,Forward,Attacking Midfielder,Creator / forward,Santos,9,Global star,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Raphinha,Raphinha,Forward,Winger,Right winger,Barcelona,9,Key winger,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Rodrygo,Rodrygo,Forward,Winger,Forward / winger,Real Madrid,9,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Alisson,Alisson,Goalkeeper,Goalkeeper,Goalkeeper,Liverpool,8,Goalkeeper option,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Bruno Guimarães,Bruno Guimarães,Midfielder,Midfielder,Central midfielder,Newcastle United,8,Key midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Endrick,Endrick,Forward,Striker,Striker,Real Madrid,8,Young attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Lucas Paquetá,Lucas Paquetá,Midfielder,Attacking Midfielder,Attacking midfielder,West Ham United,8,Creative midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Brazil,Marquinhos,Marquinhos,Defender,Defender,Centre-back,Paris Saint-Germain,8,Defensive leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Cabo Verde,Ryan Mendes,Ryan Mendes,Forward,Winger,Forward / winger,,7,Experienced attacker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Cabo Verde,Bebé,Bebé,Forward,Winger,Winger,,6,Attacker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Cabo Verde,Garry Rodrigues,Garry Rodrigues,Forward,Winger,Winger,,6,Attacker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Cabo Verde,Roberto Lopes,Roberto Lopes,Defender,Defender,Defender,,6,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Canada,Alphonso Davies,Alphonso Davies,Defender,Defender,Left-back / winger,Bayern Munich,10,Global star,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Canada,Jonathan David,Jonathan David,Forward,Striker,Striker,Lille,9,Key striker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Canada,Stephen Eustáquio,Stephen Eustáquio,Midfielder,Midfielder,Central midfielder,Porto,7,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Canada,Tajon Buchanan,Tajon Buchanan,Forward,Winger,Winger,Inter,7,Wide attacker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Canada,Ismaël Koné,Ismaël Koné,Midfielder,Midfielder,Central midfielder,,6,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Colombia,Luis Díaz,Luis Díaz,Forward,Winger,Left winger,Liverpool,10,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Colombia,James Rodríguez,James Rodríguez,Midfielder,Attacking Midfielder,Creator,,8,Creative leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Colombia,Daniel Muñoz,Daniel Muñoz,Defender,Defender,Right-back,Crystal Palace,7,Full-back,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Colombia,Davinson Sánchez,Davinson Sánchez,Defender,Defender,Centre-back,Galatasaray,7,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Colombia,Jefferson Lerma,Jefferson Lerma,Midfielder,Midfielder,Defensive midfielder,Crystal Palace,7,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Colombia,Jhon Durán,Jhon Durán,Forward,Striker,Striker,,7,Forward option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Congo DR,Chancel Mbemba,Chancel Mbemba,Defender,Defender,Centre-back,,8,Defensive leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Congo DR,Yoane Wissa,Yoane Wissa,Forward,Forward,Forward,Brentford,8,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Congo DR,Arthur Masuaku,Arthur Masuaku,Defender,Defender,Left-back,,7,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Congo DR,Cédric Bakambu,Cédric Bakambu,Forward,Striker,Striker,,7,Forward option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Croatia,Luka Modrić,Luka Modrić,Midfielder,Midfielder,Central midfielder,Real Madrid,10,Icon / playmaker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Croatia,Joško Gvardiol,Joško Gvardiol,Defender,Defender,Centre-back / left-back,Manchester City,9,Key defender,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Croatia,Mateo Kovačić,Mateo Kovačić,Midfielder,Midfielder,Central midfielder,Manchester City,8,Midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Croatia,Andrej Kramarić,Andrej Kramarić,Forward,Forward,Forward,Hoffenheim,7,Forward option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Croatia,Dominik Livaković,Dominik Livaković,Goalkeeper,Goalkeeper,Goalkeeper,Fenerbahçe,7,Goalkeeper option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Croatia,Marcelo Brozović,Marcelo Brozović,Midfielder,Midfielder,Defensive midfielder,Al Nassr,7,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Curaçao,Leandro Bacuna,Leandro Bacuna,Midfielder,Midfielder,Midfielder,,7,Experienced leader,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Curaçao,Juninho Bacuna,Juninho Bacuna,Midfielder,Midfielder,Midfielder,,6,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Curaçao,Livano Comenencia,Livano Comenencia,Defender,Defender,Defender,Juventus Next Gen,6,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Curaçao,Vurnon Anita,Vurnon Anita,Midfielder,Midfielder,Midfielder,,6,Experienced midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Czechia,Patrik Schick,Patrik Schick,Forward,Striker,Striker,Bayer Leverkusen,8,Key striker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Czechia,Tomáš Souček,Tomáš Souček,Midfielder,Midfielder,Box-to-box midfielder,West Ham United,8,Midfield leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Czechia,Adam Hložek,Adam Hložek,Forward,Forward,Forward,,7,Young attacker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Czechia,Antonín Barák,Antonín Barák,Midfielder,Attacking Midfielder,Creator,,7,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Czechia,Vladimír Coufal,Vladimír Coufal,Defender,Defender,Right-back,West Ham United,7,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Côte d'Ivoire,Franck Kessié,Franck Kessié,Midfielder,Midfielder,Central midfielder,Al Ahli,8,Midfield leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Côte d'Ivoire,Sébastien Haller,Sébastien Haller,Forward,Striker,Striker,,8,Key striker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Côte d'Ivoire,Evan Ndicka,Evan Ndicka,Defender,Defender,Centre-back,Roma,7,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Côte d'Ivoire,Simon Adingra,Simon Adingra,Forward,Winger,Winger,Brighton,7,Wide attacker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Côte d'Ivoire,Wilfried Singo,Wilfried Singo,Defender,Defender,Defender,Monaco,7,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Ecuador,Moisés Caicedo,Moisés Caicedo,Midfielder,Midfielder,Central midfielder,Chelsea,10,Midfield leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Ecuador,Pervis Estupiñán,Pervis Estupiñán,Defender,Defender,Left-back,Brighton,8,Full-back,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Ecuador,Piero Hincapié,Piero Hincapié,Defender,Defender,Centre-back / left-back,Bayer Leverkusen,8,Key defender,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Ecuador,Willian Pacho,Willian Pacho,Defender,Defender,Centre-back,Paris Saint-Germain,8,Defender,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Ecuador,Kendry Páez,Kendry Páez,Midfielder,Attacking Midfielder,Creator,Chelsea,7,Young creator,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Egypt,Mohamed Salah,Mohamed Salah,Forward,Winger,Right winger,Liverpool,10,Global star / key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Egypt,Omar Marmoush,Omar Marmoush,Forward,Forward,Forward,Manchester City,8,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Egypt,Mostafa Mohamed,Mostafa Mohamed,Forward,Striker,Striker,Nantes,7,Striker option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Egypt,Trézéguet,Trézéguet,Forward,Winger,Winger,,7,Wide option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Egypt,Mohamed Elneny,Mohamed Elneny,Midfielder,Midfielder,Midfielder,,6,Experienced midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Harry Kane,Harry Kane,Forward,Striker,Striker,Bayern Munich,10,Key striker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Jude Bellingham,Jude Bellingham,Midfielder,Attacking Midfielder,Attacking midfielder,Real Madrid,10,Key creator/scorer,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Bukayo Saka,Bukayo Saka,Forward,Winger,Right winger,Arsenal,9,Key winger,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Declan Rice,Declan Rice,Midfielder,Midfielder,Defensive/central midfielder,Arsenal,9,Midfield leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Cole Palmer,Cole Palmer,Midfielder,Attacking Midfielder,Attacking midfielder,Chelsea,8,Creative option,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,John Stones,John Stones,Defender,Defender,Centre-back,Manchester City,8,Defender,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Phil Foden,Phil Foden,Midfielder,Attacking Midfielder,Attacking midfielder / winger,Manchester City,8,Creative option,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Trent Alexander-Arnold,Trent Alexander-Arnold,Defender,Defender,Right-back / playmaker,Real Madrid,8,Creative full-back,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
England,Jordan Pickford,Jordan Pickford,Goalkeeper,Goalkeeper,Goalkeeper,Everton,7,Goalkeeper option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Kylian Mbappé,Kylian Mbappé,Forward,Attacker,Striker / left forward,Real Madrid,10,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Aurélien Tchouaméni,Aurélien Tchouaméni,Midfielder,Midfielder,Defensive midfielder,Real Madrid,9,Key midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Michael Olise,Michael Olise,Forward,Winger,Right winger / creator,Bayern Munich,9,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Ousmane Dembélé,Ousmane Dembélé,Forward,Winger,Winger / creator,Paris Saint-Germain,9,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,William Saliba,William Saliba,Defender,Defender,Centre-back,Arsenal,9,Key defender,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Bradley Barcola,Bradley Barcola,Forward,Winger,Left winger,Paris Saint-Germain,8,Important attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Eduardo Camavinga,Eduardo Camavinga,Midfielder,Midfielder,Central midfielder,Real Madrid,8,Rotation/key midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Mike Maignan,Mike Maignan,Goalkeeper,Goalkeeper,Goalkeeper,AC Milan,8,Goalkeeper option,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
France,Theo Hernández,Theo Hernández,Defender,Defender,Left-back,AC Milan,8,Key full-back,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Florian Wirtz,Florian Wirtz,Midfielder,Attacking Midfielder,Creator,Liverpool,10,Key creator,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Jamal Musiala,Jamal Musiala,Midfielder,Attacking Midfielder,Attacking midfielder,Bayern Munich,10,Key creator,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Antonio Rüdiger,Antonio Rüdiger,Defender,Defender,Centre-back,Real Madrid,9,Defensive leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Jonathan Tah,Jonathan Tah,Defender,Defender,Centre-back,Bayern Munich,8,Defender,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Joshua Kimmich,Joshua Kimmich,Midfielder,Midfielder,Midfielder / right-back,Bayern Munich,8,Leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Kai Havertz,Kai Havertz,Forward,Forward,Forward,Arsenal,8,Forward option,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Leroy Sané,Leroy Sané,Forward,Winger,Winger,Bayern Munich,8,Wide attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,Goalkeeper,Goalkeeper,Barcelona,8,Goalkeeper option,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Germany,Toni Kroos,Toni Kroos,Midfielder,Midfielder,Central midfielder,,8,Veteran playmaker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Ghana,Mohammed Kudus,Mohammed Kudus,Forward,Attacking Midfielder,Creator / winger,West Ham United,9,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
